State,Year,Shootings
California,1970,1
California,1971,1
California,1972,2
California,1973,4
California,1974,5
California,1975,1
California,1976,0
California,1977,1
California,1978,1
California,1979,2
California,1980,1
California,1981,1
California,1982,0
California,1983,2
California,1984,2
California,1985,0
California,1986,4
California,1987,2
California,1988,1
California,1989,3
California,1990,1
California,1991,6
California,1992,5
California,1993,6
California,1994,7
California,1995,2
California,1996,6
California,1997,5
California,1998,5
California,1999,2
California,2000,4
California,2001,7
California,2002,3
California,2003,2
California,2004,7
California,2005,4
California,2006,4
California,2007,5
California,2008,12
California,2009,5
California,2010,3
California,2011,2
California,2012,0
California,2013,4
California,2014,1
California,2015,1
California,2016,1
California,2017,5
California,2018,2
California,2019,1
Florida,1970,2
Florida,1971,0
Florida,1972,1
Florida,1973,0
Florida,1974,1
Florida,1975,0
Florida,1976,2
Florida,1977,2
Florida,1978,0
Florida,1979,1
Florida,1980,1
Florida,1981,2
Florida,1982,1
Florida,1983,2
Florida,1984,0
Florida,1985,1
Florida,1986,1
Florida,1987,3
Florida,1988,6
Florida,1989,0
Florida,1990,0
Florida,1991,0
Florida,1992,1
Florida,1993,1
Florida,1994,1
Florida,1995,5
Florida,1996,0
Florida,1997,5
Florida,1998,4
Florida,1999,1
Florida,2000,3
Florida,2001,0
Florida,2002,0
Florida,2003,1
Florida,2004,2
Florida,2005,3
Florida,2006,3
Florida,2007,2
Florida,2008,2
Florida,2009,1
Florida,2010,0
Florida,2011,1
Florida,2012,1
Florida,2013,5
Florida,2014,4
Florida,2015,4
Florida,2016,2
Florida,2017,1
Florida,2018,6
Florida,2019,0
Georgia,1970,0
Georgia,1971,0
Georgia,1972,0
Georgia,1973,0
Georgia,1974,0
Georgia,1975,1
Georgia,1976,0
Georgia,1977,0
Georgia,1978,0
Georgia,1979,0
Georgia,1980,0
Georgia,1981,0
Georgia,1982,1
Georgia,1983,0
Georgia,1984,0
Georgia,1985,0
Georgia,1986,1
Georgia,1987,0
Georgia,1988,1
Georgia,1989,0
Georgia,1990,0
Georgia,1991,0
Georgia,1992,0
Georgia,1993,4
Georgia,1994,1
Georgia,1995,0
Georgia,1996,2
Georgia,1997,0
Georgia,1998,0
Georgia,1999,4
Georgia,2000,1
Georgia,2001,0
Georgia,2002,0
Georgia,2003,0
Georgia,2004,0
Georgia,2005,2
Georgia,2006,2
Georgia,2007,1
Georgia,2008,1
Georgia,2009,0
Georgia,2010,0
Georgia,2011,0
Georgia,2012,1
Georgia,2013,4
Georgia,2014,2
Georgia,2015,3
Georgia,2016,1
Georgia,2017,3
Georgia,2018,4
Georgia,2019,1
Illinois,1970,1
Illinois,1971,0
Illinois,1972,2
Illinois,1973,2
Illinois,1974,1
Illinois,1975,1
Illinois,1976,0
Illinois,1977,4
Illinois,1978,1
Illinois,1979,0
Illinois,1980,0
Illinois,1981,0
Illinois,1982,0
Illinois,1983,3
Illinois,1984,0
Illinois,1985,0
Illinois,1986,1
Illinois,1987,3
Illinois,1988,3
Illinois,1989,0
Illinois,1990,0
Illinois,1991,1
Illinois,1992,4
Illinois,1993,4
Illinois,1994,1
Illinois,1995,0
Illinois,1996,0
Illinois,1997,0
Illinois,1998,0
Illinois,1999,2
Illinois,2000,1
